Name,ID,Category,Color,Attribute,Life,Power,Counter,Cost,Ability Text,Type
Monkey.D.Garp,ST19-005,Character,Black,Strike,null,4000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Activate: Main] [Once Per Turn] You may place 1 card from your trash at the bottom of your deck: Give up to 1 of your opponent's Characters −1 cost during this turn.",Navy
Jaguar.D.Saul,OP02-109,Character,Black,Strike,null,6000,+1000 Counter,4,null,Giant/Navy
Helmeppo,OP02-113,Character,Black,Slash,null,3000,+1000 Counter,3,"[When Attacking] Give up to 1 of your opponent's Characters −2 cost during this turn. Then, if there is a Character with a cost of 0, this Character gains +2000 power during this battle.[Trigger] Play this card.",Navy
Yamakaji,OP02-116,Character,Black,Slash,null,5000,+1000 Counter,3,null,Navy
Ice Age,OP02-117,Event,Black,null,null,null,,1,[Main] Give up to 1 of your opponent's Characters −5 cost during this turn.[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Navy
Vergo,OP03-079,Character,Black,Strike,null,5000,+2000 Counter,5,[DON!! x1] This Character cannot be K.O.'d in battle.,Navy/Donquixote Pirates
Charlotte Katakuri,OP03-099,Leader,Yellow,Strike,5,5000,,null,"[DON!! x1] [When Attacking] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, this Leader gains +1000 power during this battle.",Big Mom Pirates
Charlotte Katakuri,ST20-001,Character,Yellow,Strike,null,6000,+1000 Counter,5,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Big Mom Pirates
Charlotte Cracker,ST20-002,Character,Yellow,Slash,null,5000,+1000 Counter,4,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 card from the top of your Life cards instead.[Trigger] You may trash 1 card from your hand: Play this card.",Big Mom Pirates
Charlotte Brulee,ST20-003,Character,Yellow,Special,null,3000,+2000 Counter,3,"[Trigger] Look at up to 1 card from the top of your or your opponent's Life cards, and place it at the top or bottom of the Life cards. Then, add this card to your hand.",Big Mom Pirates
Charlotte Pudding,ST20-004,Character,Yellow,Wisdom,null,2000,+1000 Counter,3,[On Play] You may add 1 card from the top of your Life cards to your hand: Set up to 1 of your{Big Mom Pirates}type Characters with a cost of 3 or less as active.[Trigger] Rest up to 1 of your opponent's Characters with a cost of 3 or less.,Big Mom Pirates
Charlotte Linlin,ST20-005,Character,Yellow,Special,null,7000,,6,[On Play] You may trash 1 card from your hand: Your opponent chooses one:• Your opponent trashes 2 cards from their hand.• Trash 1 card from the top of your opponent's Life cards.,The Four Emperors/Big Mom Pirates
Charlotte Opera,OP03-106,Character,Yellow,Special,null,6000,+1000 Counter,4,null,Big Mom Pirates
Charlotte Galette,OP03-107,Character,Yellow,Special,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Big Mom Pirates
Charlotte Smoothie,OP03-110,Character,Yellow,Special,null,5000,+1000 Counter,4,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character gains +2000 power during this battle.[Trigger] You may trash 1 card from your hand: Play this card.,Big Mom Pirates
Streusen,OP03-115,Character,Yellow,Slash,null,1000,+2000 Counter,1,[On Play] You may trash 1 card with a [Trigger] from your hand: K.O. up to 1 of your opponent's Characters with a cost of 1 or less.,Big Mom Pirates
Ikoku Sovereignty,OP03-118,Event,Yellow,null,null,null,,2,[Counter] Up to 1 of your Leader or Character cards gains +5000 power during this battle.[Trigger] You may trash 2 cards from your hand: Add up to 1 card from the top of your deck to the top of your Life cards.,The Four Emperors/Big Mom Pirates
Thunder Bolt,OP03-121,Event,Yellow,null,null,null,,2,[Main] You may trash 1 card from the top of your Life cards: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,The Four Emperors/Big Mom Pirates
Trafalgar Law,OP01-002,Leader,Red/Green,Slash,4,5000,,null,"[Activate: Main] [Once Per Turn] ➁(You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character.",Supernovas/Heart Pirates
Monkey.D.Luffy,OP01-003,Leader,Red/Green,Strike,4,5000,,null,[Activate: Main] [Once Per Turn] ➃(You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your{Supernovas}or{Straw Hat Crew}type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.,Supernovas/Straw Hat Crew
Caribou,OP01-007,Character,Red,Special,null,4000,+1000 Counter,3,[On K.O.] K.O. up to 1 of your opponent's Characters with 4000 power or less.,Supernovas/Caribou Pirates
Cavendish,OP01-008,Character,Red,Slash,null,5000,,4,[On Play] You may add 1 card from your Life area to your hand: This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.),Supernovas/Beautiful Pirates
Carrot,OP01-009,Character,Red,Strike,null,3000,+1000 Counter,2,[Trigger] Play this card.,Minks
Komachiyo,OP01-010,Character,Red,Strike,null,3000,+1000 Counter,1,null,Animal/Land of Wano
Gordon,OP01-011,Character,Red,Wisdom,null,3000,+2000 Counter,2,[On Play] You may place 1 card from your hand at the bottom of your deck: Draw 1 card.,FILM
Sai,OP01-012,Character,Red,Slash,null,4000,+1000 Counter,2,null,Happosui Army
Hajrudin,OP01-018,Character,Red,Strike,null,6000,+1000 Counter,4,null,Giant/New Giant Pirates
Bartolomeo,OP01-019,Character,Red,Special,null,2000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [Opponent's Turn] This Character gains +3000 power.",Supernovas/Barto Club
Hyogoro,OP01-020,Character,Red,Strike,null,3000,+1000 Counter,2,[Activate: Main] You may rest this Character: Up to 1 of your Leader or Character cards gains +2000 power during this turn.,Land of Wano
Marco,OP01-023,Character,Red,Special,null,5000,+1000 Counter,3,null,Former Whitebeard Pirates
Monkey.D.Luffy,OP01-024,Character,Red,Strike,null,3000,+1000 Counter,2,[DON!! x2] This Character cannot be K.O.'d in battle by ＜Strike＞ attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,Supernovas/Straw Hat Crew
Gum-Gum Fire-Fist Pistol Red Hawk,OP01-026,Event,Red,null,null,null,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's Characters with 4000 power or less.[Trigger] Give up to 1 of your opponent's Leader or Character cards −10000 power during this turn.",Supernovas/Straw Hat Crew
Round Table,OP01-027,Event,Red,null,null,null,,4,[Main] Give up to 1 of your opponent's Characters −10000 power during this turn.,Supernovas/Beautiful Pirates
Green Star Rafflesia,OP01-028,Event,Red,null,null,null,,1,[Counter] Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.[Trigger] Activate this card's [Counter] effect.,Straw Hat Crew
Radical Beam!!,OP01-029,Event,Red,null,null,null,,1,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.",Straw Hat Crew
In Two Years!! At the Sabaody Archipelago!!,OP01-030,Event,Red,null,null,null,,1,"[Main] Look at 5 cards from the top of your deck; reveal up to 1{Straw Hat Crew}type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.[Trigger] Activate this card's [Main] effect.",Straw Hat Crew
Kouzuki Oden,OP01-031,Leader,Green,Slash,5,5000,,null,[Activate: Main] [Once Per Turn] You can trash 1{Land of Wano}type card from your hand: Set up to 2 of your DON!! cards as active.,Land of Wano/Kouzuki Clan
Ashura Doji,OP01-032,Character,Green,Slash,null,4000,+1000 Counter,3,"[DON!! x1] If your opponent has 2 or more rested Characters, this Character gains +2000 power.",Land of Wano/The Akazaya Nine
Inuarashi,OP01-034,Character,Green,Slash,null,4000,+1000 Counter,3,[DON!! x2] [When Attacking] Set up to 1 of your DON!! cards as active.,Minks/Land of Wano/The Akazaya Nine
Otsuru,OP01-036,Character,Green,Wisdom,null,3000,+1000 Counter,1,null,Land of Wano
Kawamatsu,OP01-037,Character,Green,Slash,null,3000,+1000 Counter,2,[Trigger] Play this card.,Fish-Man/Land of Wano/The Akazaya Nine
Kanjuro,OP01-038,Character,Green,Slash,null,3000,+1000 Counter,2,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's rested Characters with a cost of 2 or less.[On K.O.] Your opponent chooses 1 card from your hand; trash that card.,Land of Wano/The Akazaya Nine
Kin'emon,OP01-040,Character,Green,Slash,null,6000,,6,"[On Play] If your Leader is [Kouzuki Oden], play up to 1{The Akazaya Nine}type Character card with a cost of 3 or less from your hand.[DON!! x1] [When Attacking] [Once Per Turn] Set up to 1 of your{The Akazaya Nine}type Character cards with a cost of 3 or less as active.",Land of Wano/The Akazaya Nine
Komurasaki,OP01-042,Character,Green,Wisdom,null,0,+1000 Counter,1,"[On Play] ③(You may rest the specified number of DON!! cards in your cost area.): If your Leader is [Kouzuki Oden], set up to 1 of your{Land of Wano}type Character cards with a cost of 3 or less as active.",Land of Wano/Kouzuki Clan
Shinobu,OP01-043,Character,Green,Special,null,5000,+1000 Counter,3,null,Land of Wano
Shachi,OP01-044,Character,Green,Strike,null,4000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you don't have [Penguin], play up to 1 [Penguin] from your hand.",Heart Pirates
Jean Bart,OP01-045,Character,Green,Strike,null,6000,+1000 Counter,4,null,Heart Pirates
Denjiro,OP01-046,Character,Green,Slash,null,7000,,5,"[DON!! x1] [When Attacking] If your Leader is [Kouzuki Oden], set up to 2 of your DON!! cards as active.",Land of Wano/The Akazaya Nine
Trafalgar Law,OP01-047,Character,Green,Slash,null,6000,,5,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] You may return 1 Character to your hand: Play up to 1 Character card with a cost of 3 or less from your hand.",Supernovas/Heart Pirates
Nekomamushi,OP01-048,Character,Green,Slash,null,3000,+1000 Counter,2,[On Play] Rest up to 1 of your opponent's Characters with a cost of 3 or less.,Minks/Land of Wano/The Akazaya Nine
Bepo,OP01-049,Character,Green,Strike,null,4000,+2000 Counter,4,[DON!! x1] [When Attacking] Play up to 1{Heart Pirates}type Character card other than [Bepo] with a cost of 4 or less from your hand.,Minks/Heart Pirates
Penguin,OP01-050,Character,Green,Strike,null,2000,+1000 Counter,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you don't have [Shachi], play up to 1 [Shachi] from your hand.",Heart Pirates
"Eustass""Captain""Kid",OP01-051,Character,Green,Special,null,8000,,8,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid].[Activate: Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand.",Supernovas/Kid Pirates
Wire,OP01-053,Character,Green,Slash,null,4000,+1000 Counter,2,null,Kid Pirates
X.Drake,OP01-054,Character,Green,Slash,null,6000,+1000 Counter,5,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.,Supernovas/Navy/Drake Pirates
You Can Be My Samurai!!,OP01-055,Event,Green,null,null,null,,1,[Main] You may rest 2 of your Characters: Draw 2 cards.,Land of Wano/Kouzuki Clan
Demon Face,OP01-056,Event,Green,null,null,null,,6,[Main] K.O. up to 2 of your opponent's rested Characters with a cost of 5 or less.,Supernovas/Hawkins Pirates
Paradise Waterfall,OP01-057,Event,Green,null,null,null,,1,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, set up to 1 of your Characters as active.[Trigger] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.",Land of Wano/Kouzuki Clan
Punk Gibson,OP01-058,Event,Green,null,null,null,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, rest up to 1 of your opponent's Characters with a cost of 4 or less.[Trigger] Rest up to 1 of your opponent's Characters.",Supernovas/Kid Pirates
BE-BENG!!,OP01-059,Event,Green,null,null,null,,3,[Main] You may trash 1{Land of Wano}type card from your hand: Set up to 1 of your{Land of Wano}type Character cards with a cost of 3 or less as active.,Land of Wano
Kaido,OP01-061,Leader,Blue/Purple,Strike,4,5000,,null,"[DON!! x1] [Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, add up to 1 DON!! card from your DON!! deck and set it as active.",The Four Emperors/Animal Kingdom Pirates
Crocodile,OP01-062,Leader,Blue/Purple,Special,4,5000,,null,"[DON!! x1] When you activate an Event, you may draw 1 card if you have 4 or less cards in your hand and haven't drawn a card using this Leader's effect during this turn.",The Seven Warlords of the Sea/Baroque Works
Arlong,OP01-063,Character,Blue,Slash,null,5000,+1000 Counter,4,"[DON!! x1] [Activate: Main] You may rest this Character: Choose 1 card from your opponent's hand; your opponent reveals that card. If the revealed card is an Event, place up to 1 card from your opponent's Life area at the bottom of the owner's deck.",Fish-Man/Arlong Pirates
Alvida,OP01-064,Character,Blue,Strike,null,3000,+2000 Counter,2,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Return up to 1 of your opponent's Characters with a cost of 3 or less to the owner's hand.,Buggy Pirates
Vergo,OP01-065,Character,Blue,Strike,null,7000,+1000 Counter,5,null,Navy/Donquixote Pirates/Punk Hazard
Krieg,OP01-066,Character,Blue,Slash,null,6000,+1000 Counter,4,null,Krieg Pirates
Crocodile,OP01-067,Character,Blue,Special,null,7000,+1000 Counter,7,"[Banish](When this card deals damage, the target card is trashed without activating its Trigger.)[DON!! x1] Give blue Events in your hand −1 cost.",The Seven Warlords of the Sea/Baroque Works
Gecko Moria,OP01-068,Character,Blue,Special,null,5000,+1000 Counter,4,[Your Turn] This Character gains [Double Attack] if you have 5 or more cards in your hand.(This card deals 2 damage.),The Seven Warlords of the Sea/Thriller Bark Pirates
Caesar Clown,OP01-069,Character,Blue,Special,null,5000,+1000 Counter,4,"[On K.O.] Play up to 1 [Smiley] from your deck, then shuffle your deck.",Scientist/Punk Hazard
Jinbe,OP01-071,Character,Blue,Strike,null,2000,,4,[On Play] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.[Trigger] Play this card.,Fish-Man/Straw Hat Crew
Smiley,OP01-072,Character,Blue,Special,null,1000,+1000 Counter,3,[DON!! x1] [Your Turn] This Character gains +1000 power for every card in your hand.,Biological Weapon/Punk Hazard
Bartholomew Kuma,OP01-074,Character,Blue,Strike,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] Play up to 1 [Pacifista] with a cost of 4 or less from your hand.",The Seven Warlords of the Sea/Revolutionary Army
Pacifista,OP01-075,Character,Blue,Special,null,5000,,4,"Under the rules of this game, you may have any number of this card in your deck.[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Biological Weapon/Navy
Bellamy,OP01-076,Character,Blue,Strike,null,4000,+1000 Counter,2,null,Dressrosa
Boa Hancock,OP01-078,Character,Blue,Special,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand.",The Seven Warlords of the Sea/Kuja Pirates
Miss Doublefinger(Zala),OP01-080,Character,Blue,Slash,null,4000,+1000 Counter,3,[On K.O.] Draw 1 card.,Baroque Works
Mocha,OP01-081,Character,Blue,Strike,null,5000,+1000 Counter,3,null,Punk Hazard
Monet,OP01-082,Character,Blue,Special,null,3000,+1000 Counter,2,[Trigger] Play this card.,Donquixote Pirates/Punk Hazard
Mr.1(Daz.Bonez),OP01-083,Character,Blue,Slash,null,3000,+1000 Counter,2,"[DON!! x1] [Your Turn] If your Leader has the{Baroque Works}type, this Character gains +1000 power for every 2 Events in your trash.",Baroque Works
Mr.3(Galdino),OP01-085,Character,Blue,Special,null,3000,+1000 Counter,2,"[On Play] If your Leader has the{Baroque Works}type, select up to 1 of your opponent's Characters with a cost of 4 or less. The selected Character cannot attack until the end of your opponent's next turn.",Baroque Works
Officer Agents,OP01-087,Event,Blue,null,null,null,,2,[Counter] Play up to 1{Baroque Works}type Character card with a cost of 3 or less from your hand.[Trigger] Activate this card's [Counter] effect.,Baroque Works
Desert Spada,OP01-088,Event,Blue,null,null,null,,1,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order.[Trigger] Draw 2 cards and trash 1 card from your hand.",The Seven Warlords of the Sea/Baroque Works
Crescent Cutlass,OP01-089,Event,Blue,null,null,null,,3,"[Counter] If your Leader has the{The Seven Warlords of the Sea}type, return up to 1 Character with a cost of 5 or less to the owner's hand.",The Seven Warlords of the Sea/Baroque Works
Baroque Works,OP01-090,Event,Blue,null,null,null,,1,"[Main] Look at 5 cards from the top of your deck; reveal up to 1{Baroque Works}type card other than [Baroque Works] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Baroque Works
King,OP01-091,Leader,Purple,Special,5,5000,,null,"[Your Turn] If you have 10 DON!! cards on your field, give all of your opponent's Characters −1000 power.",Animal Kingdom Pirates
Urashima,OP01-092,Character,Purple,Strike,null,9000,+1000 Counter,7,null,Land of Wano
Kyoshirou,OP01-095,Character,Purple,Slash,null,6000,+1000 Counter,5,[On Play] Draw 1 card if you have 8 or more DON!! cards on your field.,Land of Wano
King,OP01-096,Character,Purple,Special,null,7000,,7,[On Play] DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less and up to 1 of your opponent's Characters with a cost of 2 or less.,Animal Kingdom Pirates
Queen,OP01-097,Character,Purple,Strike,null,5000,+1000 Counter,6,"[On Play] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Rush] during this turn. Then, give up to 1 of your opponent's Characters −2000 power during this turn.(This card can attack on the turn in which it is played.)",Animal Kingdom Pirates
Kurozumi Orochi,OP01-098,Character,Purple,Wisdom,null,2000,+2000 Counter,1,"[On Play] Reveal up to 1 [Artificial Devil Fruit SMILE] from your deck and add it to your hand. Then, shuffle your deck.",Land of Wano/Kurozumi Clan
Kurozumi Semimaru,OP01-099,Character,Purple,Special,null,3000,+1000 Counter,2,{Kurozumi Clan}type Characters other than your [Kurozumi Semimaru] cannot be K.O.'d in battle.,Land of Wano/Kurozumi Clan
Kurozumi Higurashi,OP01-100,Character,Purple,Special,null,3000,+1000 Counter,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Land of Wano/Kurozumi Clan
Jack,OP01-102,Character,Purple,Strike,null,4000,+1000 Counter,3,[When Attacking] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent trashes 1 card from their hand.,Animal Kingdom Pirates
Scratchmen Apoo,OP01-103,Character,Purple,Ranged,null,6000,+1000 Counter,4,null,Animal Kingdom Pirates/On-Air Pirates
Speed,OP01-104,Character,Purple,Strike,null,3000,+1000 Counter,2,[Trigger] Play this card.,Animal Kingdom Pirates/SMILE
Bao Huang,OP01-105,Character,Purple,Wisdom,null,3000,+1000 Counter,2,[On Play] Choose 2 cards from your opponent's hand; your opponent reveals those cards.,Animal Kingdom Pirates/SMILE
Basil Hawkins,OP01-106,Character,Purple,Slash,null,2000,+1000 Counter,4,[On Play] Add up to 1 DON!! card from your DON!! deck and rest it.[Trigger] Play this card.,Animal Kingdom Pirates/Hawkins Pirates
Babanuki,OP01-107,Character,Purple,Ranged,null,7000,+1000 Counter,5,null,Animal Kingdom Pirates/SMILE
Who's.Who,OP01-109,Character,Purple,Slash,null,3000,+1000 Counter,2,"[DON!! x1] [Your Turn] If you have 8 or more DON!! cards on your field, this Character gains +1000 power.",Animal Kingdom Pirates
Fukurokuju,OP01-110,Character,Purple,Special,null,8000,+1000 Counter,6,null,Land of Wano/Animal Kingdom Pirates
Black Maria,OP01-111,Character,Purple,Special,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Block] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains +1000 power during this turn.",Animal Kingdom Pirates
Page One,OP01-112,Character,Purple,Strike,null,5000,+1000 Counter,4,[Activate: Main] [Once Per Turn] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character can also attack your opponent's active Characters during this turn.,Animal Kingdom Pirates
Holedem,OP01-113,Character,Purple,Special,null,4000,+1000 Counter,3,[On K.O.] Add up to 1 DON!! card from your DON!! deck and rest it.,Animal Kingdom Pirates/SMILE
Elephant's Marchoo,OP01-115,Event,Purple,null,null,null,,4,"[Main] K.O. up to 1 of your opponent's Characters with a cost of 2 or less, then add up to 1 DON!! card from your DON!! deck and set it as active.[Trigger] Activate this card's [Main] effect.",Animal Kingdom Pirates/SMILE
Artificial Devil Fruit SMILE,OP01-116,Event,Purple,null,null,null,,2,"[Main] Look at 5 cards from the top of your deck; play up to 1{SMILE}type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.[Trigger] Activate this card's [Main] effect.",Animal Kingdom Pirates/SMILE
Sheep's Horn,OP01-117,Event,Purple,null,null,null,,2,[Main] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Rest up to 1 of your opponent's Characters with a cost of 6 or less.,Animal Kingdom Pirates/SMILE
Ulti-Mortar,OP01-118,Event,Purple,null,null,null,,1,"[Counter] DON!! −2(You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, draw 1 card.[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",Animal Kingdom Pirates
Thunder Bagua,OP01-119,Event,Purple,null,null,null,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, if you have 2 or less Life cards, add up to 1 DON!! card from your DON!! deck and rest it.[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",The Four Emperors/Animal Kingdom Pirates
Monkey.D.Garp,OP02-002,Leader,Red/Black,Strike,4,5000,,null,"[Your Turn] When this Leader or any of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less −1 cost during this turn.",Navy
Atmos,OP02-003,Character,Red,Slash,null,6000,+1000 Counter,4,null,Whitebeard Pirates
Curly.Dadan,OP02-005,Character,Red,Slash,null,3000,+1000 Counter,2,"[On Play] Look at up to 5 cards from the top of your deck; reveal up to 1 red Character with a cost of 1 and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Mountain Bandits
Kingdew,OP02-006,Character,Red,Strike,null,7000,+1000 Counter,5,null,Whitebeard Pirates
Thatch,OP02-007,Character,Red,Wisdom,null,8000,+1000 Counter,6,null,Whitebeard Pirates
Squard,OP02-009,Character,Red,Slash,null,5000,,3,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", give up to 1 of your opponent's Characters −4000 power during this turn and add 1 card from the top of your Life cards to your hand.",Whitebeard Pirates Allies
Dogura,OP02-010,Character,Red,Slash,null,2000,+1000 Counter,1,[Activate: Main] You may rest this Character: Play up to 1 red Character other than [Dogura] with a cost of 1 from your hand.,Mountain Bandits
Vista,OP02-011,Character,Red,Slash,null,3000,+1000 Counter,3,[On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less.,Whitebeard Pirates
Blenheim,OP02-012,Character,Red,Slash,null,3000,,2,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Whitebeard Pirates
Portgas.D.Ace,OP02-013,Character,Red,Special,null,7000,,7,"[On Play] Give up to 2 of your opponent's Characters −3000 power during this turn. Then, if your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",Whitebeard Pirates
Whitey Bay,OP02-014,Character,Red,Slash,null,2000,+1000 Counter,1,[DON!! x1] This Character can also attack your opponent's active Characters.,Whitebeard Pirates Allies
Magura,OP02-016,Character,Red,Slash,null,2000,+1000 Counter,1,[On Play] Up to 1 of your red Characters with a cost of 1 gains +3000 power during this turn.,Mountain Bandits
Masked Deuce,OP02-017,Character,Red,Wisdom,null,3000,+2000 Counter,2,[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 2000 power or less.,Spade Pirates
LittleOars Jr.,OP02-020,Character,Red,Strike,null,9000,+1000 Counter,7,null,Giant/Whitebeard Pirates Allies
Seaquake,OP02-021,Event,Red,null,null,null,,1,"[Main] If your Leader's type includes ""Whitebeard Pirates"", K.O. up to 1 of your opponent's Characters with 3000 power or less.[Trigger] Give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.",The Four Emperors/Whitebeard Pirates
Whitebeard Pirates,OP02-022,Event,Red,null,null,null,,1,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 Character card with a type including ""Whitebeard Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order.[Trigger] Activate this card's [Main] effect.",Whitebeard Pirates
Moby Dick,OP02-024,Stage,Red,null,null,null,,2,"[Your Turn] If you have 1 or less Life cards, your [Edward.Newgate] and all your Characters with a type including ""Whitebeard Pirates"" gain +2000 power.[Trigger] Play this card.",Whitebeard Pirates
Kin'emon,OP02-025,Leader,Green,Slash,5,5000,,null,"[Activate: Main] [Once Per Turn] If you have 1 or less Characters, the next time you play a{Land of Wano}type Character card with a cost of 3 or more from your hand during this turn, the cost will be reduced by 1.",Land of Wano/The Akazaya Nine
Sanji,OP02-026,Leader,Green/Blue,Strike,4,5000,,null,"[Once Per Turn] When you play a Character with no base effect from your hand, if you have 3 or less Characters, set up to 2 of your DON!! cards as active.",Straw Hat Crew
Inuarashi,OP02-027,Character,Green,Slash,null,4000,+1000 Counter,3,"If all of your DON!! cards are rested, this Character cannot be removed from the field by your opponent's effects.",Minks/Land of Wano/The Akazaya Nine
Carrot,OP02-029,Character,Green,Special,null,5000,+2000 Counter,5,[End of Your Turn] Set up to 1 of your DON!! cards as active.,Minks
Kouzuki Oden,OP02-030,Character,Green,Slash,null,8000,,8,"[Activate: Main] [Once Per Turn] ③(You may rest the specified number of DON!! cards in your cost area.): Set this Character as active.[On K.O.] Play up to 1 green{Land of Wano}type Character card with a cost of 3 from your deck. Then, shuffle your deck.",Land of Wano/Kouzuki Clan
Kouzuki Toki,OP02-031,Character,Green,Wisdom,null,0,+1000 Counter,1,"If you have a [Kouzuki Oden] Character, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Land of Wano/Kouzuki Clan
Shishilian,OP02-032,Character,Green,Slash,null,3000,+1000 Counter,2,[On Play] ②(You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your{Minks}type Characters with a cost of 5 or less as active.,Minks
Nami,OP02-036,Character,Green,Special,null,5000,,3,"[On Play]/[When Attacking] ➀(You may rest the specified number of DON!! cards in your cost area.): Look at 3 cards from the top of your deck; reveal up to 1{FILM}type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",FILM/Straw Hat Crew
Nekomamushi,OP02-038,Character,Green,Slash,null,4000,,3,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Minks/Land of Wano/The Akazaya Nine
Yamato,OP02-042,Character,Green,Strike,null,6000,,4,Also treat this card's name as [Kouzuki Oden] according to the rules.[On Play] Rest up to 1 of your opponent's Characters with a cost of 6 or less.,Land of Wano
Wanda,OP02-044,Character,Green,Slash,null,3000,+1000 Counter,2,[On Play] Play up to 1{Minks}type Character card other than [Wanda] with a cost of 3 or less from your hand.,Minks
